review/profileName,review/time,review/overall,review/taste,review/palate,review/appearance,beer/name,beer/style,beer/beerId
kramer,1258588800,14/20,7/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Cavie,1257638400,13/20,6/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
blutt59,1257465600,13/20,8/10,3/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
BMan1113VR,1257465600,13/20,4/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Maltajo,1248739200,12/20,6/10,2/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
jason,1248220800,13/20,6/10,3/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
CaptainCougar,1244937600,15/20,7/10,4/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
bitbucket,1243555200,10/20,6/10,2/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
dchmela,1241913600,15/20,7/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
scrizzz,1238025600,10/20,5/10,2/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
durhambeer,1237852800,14/20,6/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
ucusty,1237420800,15/20,6/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
emacgee,1237420800,16/20,6/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Dorwart,1235952000,14/20,8/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
FlacoAlto,1233360000,13/20,6/10,3/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
alexsdad06,1231632000,12/20,5/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
after4ever,1229040000,14/20,6/10,4/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
JCB,1228608000,14/20,7/10,4/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
otakuden,1223164800,12/20,6/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
hopscotch,1222128000,9/20,5/10,2/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Sparky,1222041600,12/20,6/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
jsquire,1221264000,13/20,6/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
hopdog,1220400000,14/20,7/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
jcwattsrugger,1219190400,13/20,7/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
smith4498,1219104000,13/20,7/10,4/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Immy,1218412800,14/20,7/10,3/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
mgumby10,1218326400,14/20,7/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
TheBeerGod,1218240000,13/20,7/10,3/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Drake,1217980800,13/20,6/10,4/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
LooseCannon,1217894400,12/20,6/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
decaturstevo,1217203200,13/20,6/10,3/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
EithCubes,1215734400,17/20,8/10,2/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
thedm,1214265600,12/20,6/10,4/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Tmoney99,1213920000,15/20,7/10,4/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
brentfeesh,1212969600,14/20,7/10,5/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
heemer77,1212883200,15/20,7/10,3/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
kp,1212796800,13/20,7/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
puzzl,1212537600,13/20,6/10,4/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Suttree,1212537600,14/20,7/10,4/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
shp555,1212451200,11/20,5/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
beerguy101,1212364800,16/20,8/10,4/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
alexanderj,1212278400,14/20,7/10,2/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
JohnC,1212278400,16/20,7/10,3/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Taverner,1209168000,14/20,7/10,4/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
MoDog,1207008000,13/20,6/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Optigon,1206921600,15/20,7/10,5/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Kevster,1206835200,13/20,7/10,3/5,2/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Acknud,1206748800,14/20,9/10,4/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
goldtwins,1206662400,13/20,6/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
hotstuff,1206403200,14/20,7/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
beastiefan2k,1205712000,16/20,7/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
JoeMcPhee,1205625600,14/20,7/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
golubj,1205539200,14/20,7/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
notalush,1205539200,12/20,6/10,4/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
GMCC2181,1204934400,15/20,7/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
eaglefan538,1204934400,16/20,8/10,3/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Cletus,1204761600,16/20,8/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
SpudClampDawg,1204070400,15/20,8/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
TheBeerOrg,1201996800,12/20,7/10,4/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
pantanap,1201824000,13/20,6/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
tjthresh,1201392000,14/20,7/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
bdigital,1201392000,14/20,7/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
IrishBoy,1200700800,14/20,7/10,3/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Odeed,1200700800,15/20,6/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
StFun,1200355200,17/20,8/10,3/5,4/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
shrubber85,1198972800,14/20,6/10,3/5,3/5,Barley Island Sinister Minister Belgian Black Ale,Traditional Ale,77833
Block,1281225600,8/20,4/10,3/5,3/5,Barley Island Goldilocks Belgian Blond,Belgian Ale,125204
adamlangolf,1225238400,17/20,7/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
GG,1223251200,13/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
mar,1220659200,14/20,7/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
jcwattsrugger,1220227200,15/20,8/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Snojerk321,1219968000,13/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
CaptainCougar,1219622400,15/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
drfabulous,1216944000,15/20,5/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
mmmbeer,1216771200,14/20,8/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
timmydent,1216684800,13/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
DWestrick,1216512000,13/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
tjthresh,1215734400,15/20,8/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
alexsdad06,1215302400,15/20,8/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
kwoeltje,1215129600,13/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
csbosox,1214697600,12/20,5/10,2/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
502Flavors,1213488000,16/20,8/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Gregis,1213056000,13/20,6/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
tedovertu,1212710400,11/20,5/10,3/5,5/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
psycho11,1212537600,13/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
jdmhawk,1211846400,16/20,7/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
KingpinIPA,1210896000,14/20,5/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
ThaBobfather,1209081600,12/20,6/10,2/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Boutip,1207872000,14/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
IrishBoy,1207699200,13/20,7/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
JPDIPSO,1207699200,12/20,6/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Cletus,1207008000,16/20,8/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
3fourths,1205971200,13/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
TheBeerOrg,1205107200,15/20,7/10,4/5,5/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
StFun,1204848000,15/20,7/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
BlackOut,1204329600,13/20,5/10,3/5,2/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
CP,1203811200,14/20,6/10,3/5,2/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Unique69crazy,1203811200,17/20,9/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
wheninhell,1203292800,13/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
tomthompson89,1202428800,14/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
mwelsh13,1201132800,12/20,5/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Doverduo,1200787200,20/20,10/10,5/5,5/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
tupalev,1199577600,11/20,5/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
HogTownHarry,1199404800,10/20,5/10,2/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
heemer77,1198886400,14/20,7/10,3/5,2/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
MrRain,1198713600,14/20,6/10,4/5,2/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
SDbruboy,1197849600,14/20,7/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
TechMyst,1195603200,14/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
JLAudio,1193529600,15/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
goldtwins,1192838400,13/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
xmarcnolanx,1191456000,14/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Ty5592,1190160000,15/20,6/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Ughsmash,1189555200,12/20,6/10,3/5,2/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
kp,1188604800,13/20,6/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
mnurda,1188518400,15/20,8/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
MoDog,1187913600,16/20,8/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
jrhammonds,1186963200,15/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
blankboy,1186790400,14/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
jcr,1185494400,14/20,7/10,2/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
LinusStick,1185408000,15/20,7/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
piscator34,1185148800,15/20,7/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
tennisjoel,1184716800,14/20,6/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Indra,1184630400,12/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
1FastSTi,1184544000,13/20,7/10,4/5,2/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Nuffield,1184112000,11/20,4/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
kramer,1183075200,15/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
badgerben,1182988800,10/20,4/10,2/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
bdigital,1182902400,15/20,7/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
tytoanderso,1181779200,15/20,5/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
BDR,1181433600,14/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
shrubber85,1181260800,15/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Aurelius,1179273600,14/20,8/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
OhioDad,1178409600,14/20,7/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
sliffy,1178323200,13/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
doubelknv3,1177200000,9/20,5/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
screigh,1176940800,11/20,5/10,3/5,1/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Strykzone,1175212800,11/20,6/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
SpudClampDawg,1174953600,10/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Duster72,1174262400,10/20,4/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
redlem,1173916800,14/20,6/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
gearbike,1173571200,14/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
jpm30,1173484800,14/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
DocLock,1173139200,15/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
thegreenrooster,1172793600,14/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
boboski,1171843200,15/20,8/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
steview,1171584000,14/20,5/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
wlajwl,1326240000,15/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
BigBang,1325980800,15/20,8/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
GhostFace,1325548800,12/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
troyc,1320624000,12/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
topherh,1315180800,14/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
geeklimit,1311033600,16/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
oh6gdx,1310947200,14/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
mgumby10,1170892800,13/20,5/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
JMFG,1170892800,15/20,6/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
hopdog,1169683200,14/20,7/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Optigon,1169596800,14/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
BigBastard,1169424000,14/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
ClarkVV,1169078400,14/20,7/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
patrick767,1168905600,15/20,8/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
EithCubes,1168214400,14/20,7/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
hopscotch,1167782400,10/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
tomhenderson,1165276800,15/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
FoolishMortal,1165104000,13/20,7/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
vyvvy,1162944000,15/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Terminus,1162771200,15/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
frankenkitty,1161734400,15/20,7/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
thedm,1159142400,12/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
hotstuff,1158969600,14/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
beerguy101,1156118400,15/20,8/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Dickinsonbeer,1156118400,14/20,7/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
RAYBOY01,1155772800,14/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Cornfield,1155081600,15/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
dhlesq,1153612800,14/20,7/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
antzman,1148947200,14/20,7/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Tmoney99,1146960000,15/20,7/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Kevster,1146355200,14/20,7/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
MI2CA,1146009600,16/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
jtclockwork,1306972800,13/20,6/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
jrallen34,1301184000,12/20,8/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
glkaiser,1298160000,13/20,7/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Beerowulf,1293753600,13/20,7/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
joeneugs,1293148800,16/20,7/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Finhead,1291939200,15/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
sneagrams3,1282608000,17/20,8/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
BrianDorry55,1278201600,14/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
steelcitybrew,1278115200,15/20,8/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
thehinge,1277769600,14/20,5/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
Frank,1273536000,14/20,6/10,3/5,2/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
MeadMe,1270944000,15/20,8/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
misterbeer,1270080000,16/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
lovemyipas,1269907200,14/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
beernbourbon,1269648000,14/20,7/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
drpimento,1268784000,14/20,6/10,4/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
awiseman01,1266624000,13/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
hogan873,1265414400,14/20,7/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
satan165,1262995200,10/20,7/10,3/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
esjaygee,1260316800,14/20,8/10,4/5,4/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
doboy,1259712000,14/20,6/10,3/5,3/5,Barley Island Barfly IPA,India Pale Ale (IPA),58511
