,text,description,parent_asin,review_title,verified_purchase,rating,product_title,id,manual_labels,gpt4o,llama3-8b,llama3-70b
2270,text: Very cool. Literally is done on an old dictionary page.  I probably didn't read the description well because I expected it to come framed and it didn't.,"description: ['ORIGINAL WALL DECOR', 'At VintBo, we specialize in creating unique and memorable pieces of art that are sure to add a fun vintage style to your home decor.', 'ORIGINAL DICTIONARY PAGE', 'The artwork is printed an authentic antique dictionary page from the early to mid-1900’s. The pages that are used for each print are random pages from a vintage dictionary. Each page has a great antique look and feel. You will receive the exact image shown however the dictionary pages that are used will vary. This makes each print one of a kind, as no two pages will be exactly the same.', 'READY TO BE FRAMED', 'The prints DO NOT come framed, but will fit any standard 8x10 frame or any larger frame with an 8x10 matte.', 'GREAT AS A GIFT', 'Our prints make the perfect gift for wall decor for an office, home, bedroom, kitchen, college dorm, dining room, living room, family room, bathroom or even the gym. And they are a great wall decoration for any age: adults, students, kids.', 'HANDMADE IN THE USA', 'I personally create each design and carefully package each print with a protective plastic sleeve inside a rigid mailing envelope to protect the artwork during shipping. Each print measures at 8x10 inches', 'STURDY PACKAGING', 'Each print comes in an EXTRA sturdy envelope for support and protection from any damage during the shipping process.', 'SO MANY MORE DESIGNS', 'Check out the VINTAGE BOOK ART CO store at the top left of this page. I offer a very large variety of prints within my shop here on Amazon. My current print selections include; Vintage Dictionary Art Prints, Gold Foil Prints, Nursery Room Prints, Kids Bedroom Prints, Bathroom Prints, Kitchen Prints, Larger Scale prints and posters, and much more. Enjoy!']",parent_asin: B015X3F4AE,review_title: Great,verified_purchase: True,rating: 5.0,"product_title: Steampunk Cat Vintage Dictionary Art Print, Antique Wall Art Home Decor, Modern Boho Poster, Farmhouse Decoration Living Room Bedroom Office 8x10 Inches, Ready To Frame",id: 1173,POSITIVE,POSITIVE,POSITIVE,POSITIVE
3013,"text: Love, love, love these readers! The crystals are beautiful. They form makes the comfortable to wear.","description: ['Introducing our Hand Embellished Reading Glasses, proudly crafted in the USA with Genuine European Crystals. Our glasses are created with meticulous attention to detail, and our in-house optical lab customizes the lenses to provide exceptional optical quality, clarity, and comfort. The Crystal-clear vision is achieved through the use of optical quality lenses and frames, while the scratch-resistant and aspheric lenses offer distortion-free viewing. We prioritize your safety and well-being, which is why our glasses are LEAD-Free. We recognize that everyone\'s eyesight is unique, which is why we offer multiple power options ranging from +1.00 to +4.00 and +5.00 +6.00. Our glasses come complete with a matching padded case and soft microfiber black case, providing optimal protection for your glasses. Our crystal glasses have received numerous compliments from our satisfied customers. Our policy is ""Fit & Style Guaranteed,"" so if you are not satisfied with your purchase within 30 days, we offer free returns and a full refund, including a prepaid return label ""Send us a message"". We also offer a 180-day warranty on our frames and crystals. Our reading glasses are designed with women in mind, featuring a durable and stylish Plastic Temple and Plastic Frame, while the Injection frame provides maximum comfort and flexibility. We also offer customization options for our Sun Readers and Sunglasses. Experience the ultimate reading glasses with our Hand Embellished Readers from the best online brand of fancy bling reading glasses By NY Fifth Avenue.']",parent_asin: B0C3WLLT25,review_title: Beautiful and comfortable,verified_purchase: True,rating: 5.0,"product_title: The French, (Bling) Fleur De Lis Women Reading Glasses Adorned with (Clear + Aurora Borealis) Austrian Crystals, Magnifying (Black) Rectangular. NY Fifth Avenue. (+2.50)",id: 80764,POSITIVE,POSITIVE,POSITIVE,POSITIVE
3106,text: We love the feel so much more than with only the stock grips.,description: ['| 100% Leather | 0% Compromise Handcrafted to last |'],parent_asin: B0BTYGY9W6,review_title: Wife loves them.,verified_purchase: True,rating: 5.0,product_title: Trip Machine Company Leather Motorcycle Grips Wrap Black,id: 79417,POSITIVE,POSITIVE,POSITIVE,POSITIVE
14744,text: Wonderful anniversary gift! My husband loved it! It came very quickly and was well packaged.,"description: ['This item is foil printing on Acid-Free, Heavyweight Paper and makes the perfect gift for 1st anniversary or any occasion.']",parent_asin: B07KR6GF9J,review_title: Great gift idea,verified_purchase: True,rating: 5.0,"product_title: 1st Anniversary Gift for Her or Him, First Dance Song",id: 43219,POSITIVE,POSITIVE,POSITIVE,POSITIVE
6753,"text: This is a great ring! Light weight, easy to read, just what I was looking for.","description: [""Artist hand made  .925 Sterling Silver tiny silver band (1.3mm) is handstamped with 'teeny and tiny' letters. *Individual ring - for multiple ring please add one item, go back and add 2nd *  **important, please double check on size and spelling of the names""]",parent_asin: B074R7BSN2,"review_title: Love it, will order again",verified_purchase: True,rating: 5.0,product_title: Teeny Tiny Stacking Sterling Silver Ring By Hannah Design Personalized Ring,id: 25211,POSITIVE,POSITIVE,POSITIVE,POSITIVE
3963,"text: This, along with the matching earrings, has become one of my favorite pieces of jewelry. Very nicely made and beautiful color.","description: [""Aloha! This jewelry reflects my love for our beautiful islands of Hawaii and brings forth our Hawaii Aloha Spirit. Aloha Prices are available each month. If you can't find what you are looking for, try searching yinahawaii April Birthstone or yinahawaii red or yinahawaii turtle, etc.  Jewelry will be made to order directly from Hawaii. Items that are available for Prime will be fulfilled faster from the mainland warehouse.  I normally make the necklaces with a tarnish resistant silver chain at around 20 inches long with a lobster claw catch. If you prefer a different length, please contact me first, I’d be happy to customize it for you. The earrings will come with standard silver French hooks. Lever Backs, Shepherds' hooks, Stainless Steel, stud or even Clip-ons are also available upon request. Leather Cord designs are handmade with Antique Brown leather cord, which is adjustable ranging about 18-30 inches. Bangle bracelets are standard 70mm in diameters. All chain style bracelets are adjustable in size. This handmade in Hawaii jewelry gift is from cultured sea glass that is specially formed into its shape for jewelry making. Each comes with a gift box with Handmade by yinahawaii stamp, an Aloha card and a white ribbon wrapped as shown in the 2nd photo, ready to give as a gift. Please see the 3rd photo for its actual and relative size.There are matching necklaces, earrings and bracelets in my collections.""]",parent_asin: B01LXQA1PI,review_title: has become one of my favorite pieces of jewelry,verified_purchase: True,rating: 5.0,"product_title: YInahawaii Handmade wire wrapped teal blue sea glass necklace, gift box,beach glass necklace,sea glass jewelry,",id: 14987,POSITIVE,POSITIVE,POSITIVE,POSITIVE
1493,text: Great quality. Looks great on my vehicle.,"description: ['YOU HAVE EARNED YOUR SIGNETThis is the way.  This is an industrial, exterior grade vinyl decal sticker.  Measuring approx. 3"" inches x 5.5 "" inches  Hand-crafted by a professional sign company *This item will be shipped as first class mail and WILL NOT receive tracking* per the Amazon Selller Requirements. * small items that cost less than $10 and  are shipped in USPS Standard Mail envelopes or First Class Mail envelopes, it will not be included in the Valid Tracking Rate (VTR) metric calculation. If you are interested  in tracking for your shipment there\'s an additional $3.00 fee,  please contact me prior to your purchase.']",parent_asin: B083D6TS21,review_title: Quality Product,verified_purchase: True,rating: 5.0,product_title: Bounty Hunter Star Mandalorian Logo Mudhorn Signet Mud Horn White Vinyl Decal,id: 56370,POSITIVE,POSITIVE,POSITIVE,POSITIVE
10455,"text: Beautiful, I just wish they were progressive lenses","description: ['Introducing our Hand Embellished Reading Glasses, proudly crafted in the USA with Genuine European Crystals. Our glasses are created with meticulous attention to detail, and our in-house optical lab customizes the lenses to provide exceptional optical quality, clarity, and comfort. The Crystal-clear vision is achieved through the use of optical quality lenses and frames, while the scratch-resistant and aspheric lenses offer distortion-free viewing. We prioritize your safety and well-being, which is why our glasses are LEAD-Free. We recognize that everyone\'s eyesight is unique, which is why we offer multiple power options ranging from +1.00 to +4.00 and +5.00 +6.00. Our glasses come complete with a matching padded case and soft microfiber black case, providing optimal protection for your glasses. Our crystal glasses have received numerous compliments from our satisfied customers. Our policy is ""Fit & Style Guaranteed,"" so if you are not satisfied with your purchase within 30 days, we offer free returns and a full refund, including a prepaid return label ""Send us a message"". We also offer a 180-day warranty on our frames and crystals. Our reading glasses are designed with women in mind, featuring a durable and stylish Plastic Temple and Plastic Frame, while the Injection frame provides maximum comfort and flexibility. We also offer customization options for our Sun Readers and Sunglasses. Experience the ultimate reading glasses with our Hand Embellished Readers from the best online brand of fancy bling reading glasses By NY Fifth Avenue.']",parent_asin: B0C3WLLT25,review_title: I love these glasses,verified_purchase: False,rating: 5.0,"product_title: The French, (Bling) Fleur De Lis Women Reading Glasses Adorned with (Clear + Aurora Borealis) Austrian Crystals, Magnifying (Black) Rectangular. NY Fifth Avenue. (+2.50)",id: 80794,POSITIVE,POSITIVE,POSITIVE,POSITIVE
2020,text: These are beautiful!!!!,description: ['6 - 8x10 UNFRAMED Prints'],parent_asin: B082G64DRQ,review_title: Worth it,verified_purchase: True,rating: 5.0,"product_title: Medical Dictionary Art Set - 8x10 Vintage Anatomical Posters - Floral Wall Decor for Doctors Office, Clinic, Med Student Dorm - Shabby Chic Gift for Nurses, Physicians Assistant, PA - Unframed Photos",id: 56048,POSITIVE,POSITIVE,POSITIVE,POSITIVE
13191,text: Amazing quality. Very detailed and the colors are so vibrant.,"description: ['ARCHIVAL INK AND PAPER - so your print will last a lifetime', 'ARCHIVAL INK AND PAPER - so your print will last a lifetime', 'BOLDLY COLORED - to liven up any wall', 'BOLDLY COLORED - to liven up any wall', 'HAND SIGNED BY THE ARTIST - ships directly from artist Ron Krajewski', 'HAND SIGNED BY THE ARTIST - ships directly from artist Ron Krajewski', 'SHIPS FLAT, NOT IN A TUBE - free replacement for prints lost or damaged', 'SHIPS FLAT, NOT IN A TUBE - free replacement for prints lost or damaged', ""100% MONEY BACK GUARANTEE- If not completely satisfied, I'll return every penny"", ""100% MONEY BACK GUARANTEE- If not completely satisfied, I'll return every penny"", 'Looking for the perfect Tortie Cat art to brighten any room?', 'Need to spice up your walls with a dash of color? This vibrant and colorful Tortie Cat print will complement any spot in your home.', ""Bare walls are drab and don't capture anyone's attention. But they don't have to be when you display this stunningly colored Tortoiseshell Cat art by Ron Krajewski. Afraid of ordering art off the internet because many arrive bent and damaged or rolled in a tube? I ship all my prints flat, backed by stiff board and protected with a clear bag. I also offer free replacement for prints lost or damaged during shipment."", 'All prints are printed on heavy duty, textured watercolor paper so they have the look and feel of an original painting. My repeat customers rave about the compliments they receive from their friends and family. All are hand-signed on the border by the artist, so you know you are getting the real deal.', 'All you have to do to frame these is pick up an inexpensive pre-cut mat and frame at any hobby store. 8x10"" prints are best displayed behind mat in and 11x14"" frame. 11x14"" prints in a 16x20"" frame. Prints can be displayed without mat in the size ordered by simply trimming off the white border.', 'I am so confident you will absolutely love the quality and color of this print, I am including a 30-day money back guarantee. I have hundreds of images to choose from and I combine shipping! So if you are ready to bring some color to your walls...then simply', 'Click ""Add To Cart""', '.']",parent_asin: B017A1KZ24,review_title: Love it. I am impressed,verified_purchase: True,rating: 5.0,product_title: Tortie Tortoiseshell Cat Art Print | Tortie Cat Gifts | From Original Watercolor Painting by Ron Krajewski | Hand Signed in 8x10” and 11x14” Sizes,id: 85447,POSITIVE,POSITIVE,POSITIVE,POSITIVE
2932,text: This store has excellent customer service. My name fell off the wall and broke. They replaced it for me without any problem. I love that they did this. I will always buy from them.,description: ['View an instant font preview / proof of your name here namesigns.font.page/Lav Our customized wooden name signs are created by top quality 1/2 inch baltic birch plywood or 1/2 Inch MDF. All signs are custom cut and sanded and ready for paint as soon as received. Please contact us if you would like to see a preview of your sign. All Signs come unpainted. All Dots and punctuation will be attached. Signs over 46 inches will be done in 2 pieces to allow for handling.'],parent_asin: B09TJNL15Z,review_title: This store has excellent Customer Service.,verified_purchase: True,rating: 5.0,"product_title: Personalized Custom Wood Name Sign, Nursery Name Sign, Family Name Signs, Choice of Size & Fonts!",id: 71806,POSITIVE,POSITIVE,POSITIVE,POSITIVE
3421,text: Bought two vinyl decals for my husbands Rtic 65 cooler. They look fantastic. Perfect size! Plus they came earlier than expected.,"description: ['This listing is for one Personalized Name Vinyl Decal/Sticker 1.5""-2.5"" x 4""-8"" size will vary depending on name/letters used, up to 16 characters maximum including spaces. Text only, no images, no all CAPS in this font. Decal comes with the Honey Script Font as shown in ""Your Text"" picture. Choose from 15 colors. This is a DIE-CUT decal meaning that the background has been trimmed off. White is the background color in the picture. The background color will be the surface color you place the sticker on (or clear if you put it on a window). Endura Vinyl - 3+ year outdoor, 5+ year indoor. These Vinyl Decals will stick onto any hard smooth surface, like (Macbook, Windshield, iPad cases) and many more. Vinyl Decal comes with transfer paper so adhering to desired surface is a breeze.']",parent_asin: B016EGINY8,review_title: Perfect for our cooler,verified_purchase: True,rating: 5.0,product_title: Personalized Name Vinyl Decal Sticker in Honey Script Font Choose your Color,id: 2915,POSITIVE,POSITIVE,POSITIVE,POSITIVE
12123,"text: These are very stunning! I put the names of my 2 children and my 15+ yr old puppy I recently laid to rest. The colors are very striking, the metal feels solid and the engraving is well done. The size of the rings was perfect. It matched the size I got my wedding ring fitted to.","description: ['New to our product line are these nice Stainless Steel Stackable Name Rings, they are available in Matte, Shiny, Rose Gold, Gold and Coffee colors Stainless Steel. Each ring is personalized with your choice of wording and/or dates. The rings are made of Stainless Steel that will not fade, tarnish or stain your skin. Rose Gold, Gold and Coffee colors are plated over Stainless Steel. Each ring is 3mm wide, the perfect width for stacking! **LISTING IS FOR 1 RING** ( Picture shows five individual rings which are sold separately) Change Quantity to desired number of rings and add to cart separately ****INSIDE ENGRAVING NOT AVAILABLE FOR THIS RING**** ------------ORDERING INSTRUCTIONS--------------- 1. Select Quantity 2. Select Color3. Select Size 4. Enter personalization (35 characters max.) **Please note: Paint in rings is not permanent and will come out over time, length will vary depending on wear of ring. This can easily be repainted at any time using a paint marker and wiping excess with alcohol. Unfortunately, there is not a way to make it permanent in stainless steel, however the engraving (stamping) will always be there**']",parent_asin: B015YI5I40,review_title: The size of the rings was perfect. It matched the size I got my wedding ...,verified_purchase: True,rating: 5.0,"product_title: Personalized Stackable Name Ring - Stacking Rings - Matte, Shiny, Rose Gold, Gold and Coffee Colors - 3mm Width",id: 1392,POSITIVE,POSITIVE,POSITIVE,POSITIVE
10942,text: Turns a weird color after one week. Almost like a rose color but no longer matches my other rings. Disappointed that I put my deceased son’s name on it,"description: ['A personalized sterling silver stacking ring 2.4 mm wide and a sturdy 1.35 mm thick to last a lifetime. Handmade from solid sterling silver wire. Lettering available is upper case only A-Z, &, a heart symbol and simple punctuation. Every ring tells a story.']",parent_asin: B01591IOQG,review_title: Sad,verified_purchase: True,rating: 2.0,"product_title: Personalized Sterling Silver Ring, Stacking Rings - 2.4 mm wide",id: 113,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE
11058,"text: Clean cuts, perfect no splinters or chips, clean base to paint.",description: ['View an instant font preview / proof of your name here namesigns.font.page/Lav Our customized wooden name signs are created by top quality 1/2 inch baltic birch plywood or 1/2 Inch MDF. All signs are custom cut and sanded and ready for paint as soon as received. Please contact us if you would like to see a preview of your sign. All Signs come unpainted. All Dots and punctuation will be attached. Signs over 46 inches will be done in 2 pieces to allow for handling.'],parent_asin: B09TJNL15Z,review_title: Great quality,verified_purchase: True,rating: 5.0,"product_title: Personalized Custom Wood Name Sign, Nursery Name Sign, Family Name Signs, Choice of Size & Fonts!",id: 71752,POSITIVE,POSITIVE,POSITIVE,POSITIVE
10289,text: From the packaging to the item was beautiful!<br />Thank you so much!,"description: ['Personalized single letter monogram car charm. All letters are available. Decorate your rear view mirror with this adorable mirror charm. They would also work great for ornaments, locker decor, room decor and so many more options. These mirror monogram charms are laser cut wood and personalized with the letter of your choice and ribbon color option. Ribbon choices are in the photos. Please, make your choice carefully. No return or exchange on personalized items. But please contact us if you have any problems with your order.']",parent_asin: B09989VTBF,review_title: Perfect,verified_purchase: True,rating: 5.0,product_title: Car Charm Personalized Car Charm Rear View Mirror Car Ornament Gift Accessories Handmade Wood Leopard Burlap Black White Red Black Cow Paws Ribbons,id: 67183,POSITIVE,POSITIVE,POSITIVE,POSITIVE
6601,text: Se rompe fácil,"description: ['Please enter a single letter initial by clicking the ""Customize"" button to personalize the necklace']",parent_asin: B0BFJWQ4YX,review_title: Cálida y versátil,verified_purchase: True,rating: 3.0,"product_title: YInahawaii Handmade turquoise bay blue sea glass necklace,starfish charm,Natural pearl, December Birthstone "", (Hawaii Gift Wrapped, Customizable Gift Message)",id: 76322,NEUTRAL,NEUTRAL,NEGATIVE,NEGATIVE
7375,text: Love these!,"description: [""Artist hand made  .925 Sterling Silver tiny silver band (1.3mm) is handstamped with 'teeny and tiny' letters. *Individual ring - for multiple ring please add one item, go back and add 2nd *  **important, please double check on size and spelling of the names""]",parent_asin: B074R7BSN2,review_title: Perfect,verified_purchase: True,rating: 5.0,product_title: Teeny Tiny Stacking Sterling Silver Ring By Hannah Design Personalized Ring,id: 25465,POSITIVE,POSITIVE,POSITIVE,POSITIVE
5859,text: Looks great and keeps the towel from falling!,"description: ['Functional and soft, these towel hangers are a great way to conveniently display your kitchen towels while allowing you to remove the towels for laundering. Great for every day use as well as displaying those special seasonal towels.  Hang them from your stove, refrigerator handle, dishwasher, or anywhere that you may need.  Simply unbutton your towel hanger, wrap around the handle you wish to display it on and button back. place the towel in the ring at the bottom. The ring is designed to accommodate a wide variety of sizes of kitchen and hand towels.  Each towel holder is made from acrylic yarn, acrylic ring and a little wood button, proudly displaying that the item is ""Handmade with Love"". The towel holder is approximately 10.5 inches tall when open and 7 inches tall when buttoned. The ring section of the towel holder is 3.75 inches across. To care for your holder simple wash in cold water with like colors and line or tumble dry.']",parent_asin: B09WJLP3RP,review_title: Great!!,verified_purchase: True,rating: 5.0,product_title: Crochet Hanging Dish Towel Holder (Heather Grey),id: 72670,POSITIVE,POSITIVE,POSITIVE,POSITIVE
7991,text: These are unique and lovely.  I purchased them for a gift and I'm sure the recipient will love them as much as I do.,"description: ['A fun novelty gift for caffeine addicts, our Coffee Bean Earrings are fun, lightweight and easy to wear. Coffee-drinkers will love these caffeine-powered earrings that let you wear your coffee all day long. Keep people buzzing about these unusual, creative, artistic earrings. Pair with a coffee mug or add these earrings to a coffee gift basket or coffee lovers gift set. Ear wires are hypoallergenic surgical steel.']",parent_asin: B0186REUAO,review_title: I purchased them for a gift and I'm sure the recipient will love them as much as I do,verified_purchase: True,rating: 5.0,product_title: Handmade Coffee Earrings with Real Coffee Beans | Made With Love by Mothers & Women Artisans,id: 5226,POSITIVE,POSITIVE,POSITIVE,POSITIVE
