,review/appearance,review/palate,review/taste,review/overall,beer/style,beer/name_beer/beerId,review/profileName,review/time,manual_labels
655,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/appearance: 4/5,review/palate: 4/5,review/taste: 8/10,review/overall: 17/20,review/time: 1319932800,review/profileName: Cunningham,YES
15475,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 15/20,beer/style: Spice/Herb/Vegetable,beer/name: Mountain Goat Seedy Goat Coffee IPAbeer/beerId: 150918,review/profileName: maneliquor,review/time: 1315526400,NO
1397,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/appearance: 5/5,review/palate: 4/5,review/taste: 7/10,review/overall: 15/20,review/time: 1148342400,review/profileName: swiseman,YES
25150,review/appearance: 4/5,review/palate: 4/5,review/taste: 7/10,review/overall: 15/20,beer/style: Brown Ale,beer/name: The Duck-Rabbit Brown Alebeer/beerId: 38877,review/profileName: SuIIy,review/time: 1257206400,NO
23029,review/appearance: 4/5,review/palate: 3/5,review/taste: 7/10,review/overall: 16/20,beer/style: Belgian Ale,beer/name: John Harvards Grand Crubeer/beerId: 71719,review/profileName: egajdzis,review/time: 1102896000,YES
8589,review/appearance: 3/5,review/palate: 2/5,review/taste: 6/10,review/overall: 13/20,beer/style: Porter,beer/name: Barley Island Beastie Barrel Porterbeer/beerId: 102023,review/profileName: egajdzis,review/time: 1120694400,NO
4192,beer/name: Chimay Triple / Blanche (White) / Cinq Centsbeer/beerId: 52,beer/style: Abbey Tripel,review/appearance: 5/5,review/palate: 3/5,review/taste: 6/10,review/overall: 14/20,review/time: 1099785600,review/profileName: eboats,YES
9208,review/appearance: 3/5,review/palate: 3/5,review/taste: 5/10,review/overall: 10/20,beer/style: Belgian Ale,beer/name: Daas Blondbeer/beerId: 101632,review/profileName: DonMagi,review/time: 1259020800,YES
1943,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/appearance: 5/5,review/palate: 5/5,review/taste: 9/10,review/overall: 17/20,review/time: 1038441600,review/profileName: PorterPounder,YES
8318,review/appearance: 3/5,review/palate: 2/5,review/taste: 6/10,review/overall: 10/20,beer/style: Belgian Ale,beer/name: Chimay Dore / Refterbierbeer/beerId: 14228,review/profileName: elektronikfagtekniker,review/time: 1155168000,YES
17512,review/appearance: 3/5,review/palate: 4/5,review/taste: 7/10,review/overall: 16/20,beer/style: Barley Wine,beer/name: The Duck-Rabbit Barleywinebeer/beerId: 67542,review/profileName: Lyncham,review/time: 1285804800,NO
20089,review/appearance: 4/5,review/palate: 3/5,review/taste: 4/10,review/overall: 11/20,beer/style: Porter,beer/name: Williamsburg Porterbeer/beerId: 7841,review/profileName: sloth,review/time: 1119225600,NO
21123,review/appearance: 4/5,review/palate: 3/5,review/taste: 6/10,review/overall: 13/20,beer/style: Imperial Stout,beer/name: The Duck-Rabbit Rabid Duck Russian Imperial Stoutbeer/beerId: 54634,review/profileName: TheCheeseMan,review/time: 1187740800,YES
12831,review/appearance: 3/5,review/palate: 3/5,review/taste: 6/10,review/overall: 14/20,beer/style: Specialty Grain,beer/name: Montgomery Roggenbierbeer/beerId: 51767,review/profileName: Walt,review/time: 1128384000,NO
8418,review/appearance: 3/5,review/palate: 2/5,review/taste: 6/10,review/overall: 11/20,beer/style: Porter,beer/name: Wolf Black Tail Porterbeer/beerId: 153377,review/profileName: manuchampions,review/time: 1315353600,NO
21233,review/appearance: 4/5,review/palate: 3/5,review/taste: 6/10,review/overall: 13/20,beer/style: Stout,beer/name: South Shore Rhoades Scholar Stoutbeer/beerId: 14761,review/profileName: restless7,review/time: 1209859200,NO
12800,review/appearance: 3/5,review/palate: 3/5,review/taste: 6/10,review/overall: 14/20,beer/style: Porter,beer/name: The Duck-Rabbit Porterbeer/beerId: 38878,review/profileName: BeerandBlues2,review/time: 1161648000,NO
12957,review/appearance: 3/5,review/palate: 3/5,review/taste: 6/10,review/overall: 15/20,beer/style: Brown Ale,beer/name: The Duck-Rabbit Brown Alebeer/beerId: 38877,review/profileName: Brewbie,review/time: 1232236800,NO
12307,review/appearance: 3/5,review/palate: 3/5,review/taste: 6/10,review/overall: 13/20,beer/style: Golden Ale/Blond Ale,beer/name: Casta Doradabeer/beerId: 7921,review/profileName: ante,review/time: 1119744000,NO
18388,review/appearance: 4/5,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/palate: 4/5,review/taste: 7/10,review/overall: 14/20,review/time: 1177545600,review/profileName: pfhyde,YES
13987,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 13/20,beer/style: Pilsener,beer/name: Belle Gueule Pilsnerbeer/beerId: 8133,review/profileName: Radek Kliber,review/time: 1080345600,NO
13846,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 13/20,beer/style: English Strong Ale,beer/name: Hebridean Berserkerbeer/beerId: 31442,review/profileName: douglas88,review/time: 1284422400,YES
2587,beer/name: Chimay Rouge (Red) / Premirebeer/beerId: 51,beer/style: Abbey Dubbel,review/appearance: 4/5,review/palate: 4/5,review/taste: 8/10,review/overall: 18/20,review/time: 1024444800,review/profileName: Gunshy,YES
26197,review/appearance: 4/5,review/palate: 4/5,review/taste: 8/10,review/overall: 15/20,beer/style: Zwickel/Keller/Landbier,beer/name: Wilde Rose Kellerbierbeer/beerId: 17670,review/profileName: TAR,review/time: 1325289600,YES
5877,review/appearance: 2/5,review/palate: 2/5,review/taste: 5/10,review/overall: 10/20,beer/style: Wheat Ale,beer/name: Williamsburg Wheat Alebeer/beerId: 7840,review/profileName: YourDarkLord,review/time: 1087776000,NO
25228,review/appearance: 4/5,review/palate: 4/5,review/taste: 7/10,review/overall: 15/20,beer/style: India Pale Ale (IPA),beer/name: Barley Island Barfly IPAbeer/beerId: 58511,review/profileName: jrhammonds,review/time: 1186963200,NO
10320,review/appearance: 3/5,review/palate: 3/5,review/taste: 5/10,review/overall: 9/20,beer/style: Wheat Ale,beer/name: Barley Island Flat Belly Wheat (Flat Top)beer/beerId: 19689,review/profileName: MapleCity219,review/time: 1291420800,NO
2120,beer/name: Chimay Rouge (Red) / Premirebeer/beerId: 51,beer/style: Abbey Dubbel,review/appearance: 3/5,review/palate: 4/5,review/taste: 8/10,review/overall: 16/20,review/time: 1312588800,review/profileName: HeistAlmighty,YES
20501,review/appearance: 4/5,review/palate: 3/5,review/taste: 6/10,review/overall: 11/20,beer/style: Amber Ale,beer/name: The Duck-Rabbit Amber Alebeer/beerId: 38876,review/profileName: Volgon,review/time: 1100217600,NO
27584,review/appearance: 5/5,review/palate: 3/5,review/taste: 7/10,review/overall: 13/20,beer/name: Sailor Hagars Lohins ESBbeer/beerId: 5977,beer/style: Premium Bitter/ESB,review/profileName: fiulijn,review/time: 1276992000,NO
14546,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 14/20,beer/style: Brown Ale,beer/name: The Duck-Rabbit Brown Alebeer/beerId: 38877,review/profileName: osu97gp,review/time: 1296950400,NO
20919,review/appearance: 4/5,review/palate: 3/5,review/taste: 6/10,review/overall: 13/20,beer/style: Abbey Dubbel,beer/name: Chimay Rouge (Red) / Premirebeer/beerId: 51,review/profileName: Stine,review/time: 1179446400,YES
924,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/appearance: 4/5,review/palate: 4/5,review/taste: 9/10,review/overall: 18/20,review/time: 1132358400,review/profileName: tinydancer,YES
4578,beer/name: Chimay Triple / Blanche (White) / Cinq Centsbeer/beerId: 52,beer/style: Abbey Tripel,review/appearance: 5/5,review/palate: 5/5,review/taste: 8/10,review/overall: 17/20,review/time: 1175040000,review/profileName: DarkFaerytale,NO
6090,review/appearance: 2/5,review/palate: 2/5,review/taste: 6/10,review/overall: 11/20,beer/style: Dortmunder/Helles,beer/name: City Steam Blonde Export Lagerbeer/beerId: 30689,review/profileName: Aurelius,review/time: 1075334400,YES
3899,beer/name: Chimay Triple / Blanche (White) / Cinq Centsbeer/beerId: 52,beer/style: Abbey Tripel,review/appearance: 4/5,review/palate: 4/5,review/taste: 8/10,review/overall: 17/20,review/time: 1171497600,review/profileName: wernesgruner,YES
2848,beer/name: Chimay Rouge (Red) / Premirebeer/beerId: 51,beer/style: Abbey Dubbel,review/appearance: 5/5,review/palate: 3/5,review/taste: 4/10,review/overall: 12/20,review/time: 1260057600,review/profileName: mcbeyond,YES
27696,review/appearance: 5/5,review/palate: 3/5,review/taste: 9/10,review/overall: 17/20,beer/name: Yaegaki Nigori Sakebeer/beerId: 82570,beer/style: Sak - Nigori,review/profileName: bpreo,review/time: 1267833600,NO
25356,review/appearance: 4/5,review/palate: 4/5,review/taste: 7/10,review/overall: 15/20,beer/style: Scotch Ale,beer/name: The Duck-Rabbit Wee Heavy Scotch Style Alebeer/beerId: 59173,review/profileName: mcox90,review/time: 1193529600,NO
9016,review/appearance: 3/5,review/palate: 3/5,review/taste: 4/10,review/overall: 8/20,beer/style: Abbey Tripel,beer/name: Brunehaut Abbaye de Saint-Martin Triplebeer/beerId: 100762,review/profileName: faroeviking,review/time: 1312761600,YES
6654,review/appearance: 2/5,review/palate: 3/5,review/taste: 6/10,review/overall: 12/20,beer/style: Wheat Ale,beer/name: Liquid Bread American Wheatbeer/beerId: 51651,review/profileName: csaso,review/time: 1318982400,NO
3297,beer/name: Chimay Triple / Blanche (White) / Cinq Centsbeer/beerId: 52,beer/style: Abbey Tripel,review/appearance: 3/5,review/palate: 4/5,review/taste: 8/10,review/overall: 17/20,review/time: 1038096000,review/profileName: Gusler,YES
23417,review/appearance: 4/5,review/palate: 3/5,review/taste: 8/10,review/overall: 15/20,beer/name: The Duck-Rabbit Rabid Duck Russian Imperial Stoutbeer/beerId: 54634,beer/style: Imperial Stout,review/profileName: wnoble,review/time: 1310256000,NO
6855,review/appearance: 2/5,review/palate: 3/5,review/taste: 7/10,review/overall: 15/20,beer/name: Eldridge Pope Thomas Hardys Ale (all vintages to 1999)beer/beerId: 999,beer/style: Barley Wine,review/profileName: frylock,review/time: 1146182400,NO
1137,beer/name: Chimay Bleue (Blue) / Grande Rservebeer/beerId: 53,beer/style: Belgian Strong Ale,review/appearance: 4/5,review/palate: 5/5,review/taste: 8/10,review/overall: 17/20,review/time: 1157587200,review/profileName: jonnabrix,YES
17274,review/appearance: 3/5,review/palate: 4/5,review/taste: 7/10,review/overall: 15/20,beer/style: Barley Wine,beer/name: Eldridge Pope Thomas Hardys Ale (all vintages to 1999)beer/beerId: 999,review/profileName: Ungstrup,review/time: 1222128000,NO
16061,review/appearance: 3/5,review/palate: 3/5,review/taste: 8/10,review/overall: 15/20,beer/style: Doppelbock,beer/name: Eick Bru Gievitzer Doppelbockbeer/beerId: 95253,review/profileName: Papsoe,review/time: 1232064000,YES
5090,review/appearance: 1/5,review/palate: 2/5,review/taste: 3/10,review/overall: 6/20,beer/style: Pilsener,beer/name: Belle Gueule Pilsnerbeer/beerId: 8133,review/profileName: unibrouefan,review/time: 1139097600,NO
5624,review/appearance: 2/5,review/palate: 2/5,review/taste: 4/10,review/overall: 7/20,beer/style: Low Alcohol,beer/name: Thorbru Leichte Weissebeer/beerId: 31391,review/profileName: Papsoe,review/time: 1287273600,YES
14903,review/appearance: 3/5,review/palate: 3/5,review/taste: 7/10,review/overall: 14/20,beer/style: Spice/Herb/Vegetable,beer/name: City Steam Norwegian Woodbeer/beerId: 42438,review/profileName: MartinT,review/time: 1198022400,YES
4150,beer/name: Chimay Triple / Blanche (White) / Cinq Centsbeer/beerId: 52,beer/style: Abbey Tripel,review/appearance: 4/5,review/palate: 5/5,review/taste: 9/10,review/overall: 17/20,review/time: 1180915200,review/profileName: lucien,YES
20614,review/appearance: 4/5,review/palate: 3/5,review/taste: 6/10,review/overall: 12/20,beer/style: Abbey Dubbel,beer/name: LAlsacienne Sans Culotte Brunebeer/beerId: 49368,review/profileName: larsga,review/time: 1279584000,NO
23017,review/appearance: 4/5,review/palate: 3/5,review/taste: 7/10,review/overall: 16/20,beer/style: Barley Wine,beer/name: Eldridge Pope Thomas Hardys Ale (all vintages to 1999)beer/beerId: 999,review/profileName: Furseth,review/time: 1178064000,NO
