,review/profileName,review/time,review/overall,review/taste,review/palate,review/appearance,beer/name,beer/style,manual_labels,gpt4o,llama3-8b,llama3-70b
27187,review/profileName: maneliquor,review/time: 1315526400,review/overall: 15/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Mountain Goat Seedy Goat Coffee IPA,beer/style: Spice/Herb/Vegetable,NO,NO,NO,NO
7502,review/profileName: swiseman,review/time: 1148342400,review/overall: 15/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 5/5,beer/name: Chimay Bleue (Blue) / Grande Rserve,beer/style: Belgian Strong Ale,YES,YES,YES,YES
1661,review/profileName: SuIIy,review/time: 1257206400,review/overall: 15/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 4/5,beer/name: The Duck-Rabbit Brown Ale,beer/style: Brown Ale,NO,NO,NO,NO
8288,review/profileName: egajdzis,review/time: 1102896000,review/overall: 16/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 4/5,beer/name: John Harvards Grand Cru,beer/style: Belgian Ale,YES,YES,YES,YES
19762,review/profileName: egajdzis,review/time: 1120694400,review/overall: 13/20,review/taste: 6/10,review/palate: 2/5,review/appearance: 3/5,beer/name: Barley Island Beastie Barrel Porter,beer/style: Porter,NO,NO,NO,NO
4678,review/profileName: eboats,review/time: 1099785600,review/overall: 14/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 5/5,beer/name: Chimay Triple / Blanche (White) / Cinq Cents,beer/style: Abbey Tripel,YES,YES,YES,YES
14465,review/profileName: DonMagi,review/time: 1259020800,review/overall: 10/20,review/taste: 5/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Daas Blond,beer/style: Belgian Ale,YES,YES,YES,YES
22598,review/profileName: PorterPounder,review/time: 1038441600,review/overall: 17/20,review/taste: 9/10,review/palate: 5/5,review/appearance: 5/5,beer/name: Chimay Bleue (Blue) / Grande Rserve,beer/style: Belgian Strong Ale,YES,YES,YES,YES
1103,review/profileName: elektronikfagtekniker,review/time: 1155168000,review/overall: 10/20,review/taste: 6/10,review/palate: 2/5,review/appearance: 3/5,beer/name: Chimay Dore / Refterbier,beer/style: Belgian Ale,YES,YES,YES,YES
15026,review/profileName: Lyncham,review/time: 1285804800,review/overall: 16/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 3/5,beer/name: The Duck-Rabbit Barleywine,beer/style: Barley Wine,NO,NO,NO,NO
26782,review/profileName: sloth,review/time: 1119225600,review/overall: 11/20,review/taste: 4/10,review/palate: 3/5,review/appearance: 4/5,beer/name: Williamsburg Porter,beer/style: Porter,NO,NO,NO,NO
24966,review/profileName: TheCheeseMan,review/time: 1187740800,review/overall: 13/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 4/5,beer/name: The Duck-Rabbit Rabid Duck Russian Imperial Stout,beer/style: Imperial Stout,YES,NO,NO,NO
24003,review/profileName: Walt,review/time: 1128384000,review/overall: 14/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Montgomery Roggenbier,beer/style: Specialty Grain,NO,NO,NO,NO
27710,review/profileName: manuchampions,review/time: 1315353600,review/overall: 11/20,review/taste: 6/10,review/palate: 2/5,review/appearance: 3/5,beer/name: Wolf Black Tail Porter,beer/style: Porter,NO,NO,NO,NO
20506,review/profileName: restless7,review/time: 1209859200,review/overall: 13/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 4/5,beer/name: South Shore Rhoades Scholar Stout,beer/style: Stout,NO,NO,NO,NO
17426,review/profileName: BeerandBlues2,review/time: 1161648000,review/overall: 14/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 3/5,beer/name: The Duck-Rabbit Porter,beer/style: Porter,NO,NO,NO,NO
12530,review/profileName: Brewbie,review/time: 1232236800,review/overall: 15/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 3/5,beer/name: The Duck-Rabbit Brown Ale,beer/style: Brown Ale,NO,NO,NO,NO
96,review/profileName: ante,review/time: 1119744000,review/overall: 13/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Casta Dorada,beer/style: Golden Ale/Blond Ale,NO,NO,NO,NO
27555,review/profileName: pfhyde,review/time: 1177545600,review/overall: 14/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 4/5,beer/name: Chimay Bleue (Blue) / Grande Rserve,beer/style: Belgian Strong Ale,YES,YES,YES,YES
27682,review/profileName: Radek Kliber,review/time: 1080345600,review/overall: 13/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Belle Gueule Pilsner,beer/style: Pilsener,NO,NO,NO,NO
273,review/profileName: douglas88,review/time: 1284422400,review/overall: 13/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Hebridean Berserker,beer/style: English Strong Ale,YES,YES,YES,YES
26128,review/profileName: Gunshy,review/time: 1024444800,review/overall: 18/20,review/taste: 8/10,review/palate: 4/5,review/appearance: 4/5,beer/name: Chimay Rouge (Red) / Premire,beer/style: Abbey Dubbel,YES,YES,YES,YES
15852,review/profileName: TAR,review/time: 1325289600,review/overall: 15/20,review/taste: 8/10,review/palate: 4/5,review/appearance: 4/5,beer/name: Wilde Rose Kellerbier,beer/style: Zwickel/Keller/Landbier,YES,YES,YES,YES
18214,review/profileName: YourDarkLord,review/time: 1087776000,review/overall: 10/20,review/taste: 5/10,review/palate: 2/5,review/appearance: 2/5,beer/name: Williamsburg Wheat Ale,beer/style: Wheat Ale,NO,NO,NO,NO
24392,review/profileName: jrhammonds,review/time: 1186963200,review/overall: 15/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 4/5,beer/name: Barley Island Barfly IPA,beer/style: India Pale Ale (IPA),NO,NO,NO,NO
24356,review/profileName: MapleCity219,review/time: 1291420800,review/overall: 9/20,review/taste: 5/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Barley Island Flat Belly Wheat (Flat Top),beer/style: Wheat Ale,NO,NO,NO,NO
6896,review/profileName: HeistAlmighty,review/time: 1312588800,review/overall: 16/20,review/taste: 8/10,review/palate: 4/5,review/appearance: 3/5,beer/name: Chimay Rouge (Red) / Premire,beer/style: Abbey Dubbel,YES,YES,YES,YES
8270,review/profileName: Volgon,review/time: 1100217600,review/overall: 11/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 4/5,beer/name: The Duck-Rabbit Amber Ale,beer/style: Amber Ale,NO,NO,NO,NO
23349,review/profileName: fiulijn,review/time: 1276992000,review/overall: 13/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 5/5,beer/name: Sailor Hagars Lohins ESB,beer/style: Premium Bitter/ESB,NO,NO,NO,NO
20380,review/profileName: osu97gp,review/time: 1296950400,review/overall: 14/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 3/5,beer/name: The Duck-Rabbit Brown Ale,beer/style: Brown Ale,NO,NO,NO,NO
15046,review/profileName: Stine,review/time: 1179446400,review/overall: 13/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 4/5,beer/name: Chimay Rouge (Red) / Premire,beer/style: Abbey Dubbel,YES,YES,YES,YES
23395,review/profileName: tinydancer,review/time: 1132358400,review/overall: 18/20,review/taste: 9/10,review/palate: 4/5,review/appearance: 4/5,beer/name: Chimay Bleue (Blue) / Grande Rserve,beer/style: Belgian Strong Ale,YES,YES,YES,YES
11129,review/profileName: DarkFaerytale,review/time: 1175040000,review/overall: 17/20,review/taste: 8/10,review/palate: 5/5,review/appearance: 5/5,beer/name: Chimay Triple / Blanche (White) / Cinq Cents,beer/style: Abbey Tripel,NO,YES,YES,YES
13033,review/profileName: Aurelius,review/time: 1075334400,review/overall: 11/20,review/taste: 6/10,review/palate: 2/5,review/appearance: 2/5,beer/name: City Steam Blonde Export Lager,beer/style: Dortmunder/Helles,YES,YES,NO,YES
11462,review/profileName: wernesgruner,review/time: 1171497600,review/overall: 17/20,review/taste: 8/10,review/palate: 4/5,review/appearance: 4/5,beer/name: Chimay Triple / Blanche (White) / Cinq Cents,beer/style: Abbey Tripel,YES,YES,YES,YES
12830,review/profileName: mcbeyond,review/time: 1260057600,review/overall: 12/20,review/taste: 4/10,review/palate: 3/5,review/appearance: 5/5,beer/name: Chimay Rouge (Red) / Premire,beer/style: Abbey Dubbel,YES,YES,YES,YES
25457,review/profileName: bpreo,review/time: 1267833600,review/overall: 17/20,review/taste: 9/10,review/palate: 3/5,review/appearance: 5/5,beer/name: Yaegaki Nigori Sake,beer/style: Sak - Nigori,NO,NO,NO,NO
24888,review/profileName: mcox90,review/time: 1193529600,review/overall: 15/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 4/5,beer/name: The Duck-Rabbit Wee Heavy Scotch Style Ale,beer/style: Scotch Ale,NO,NO,YES,NO
2974,review/profileName: faroeviking,review/time: 1312761600,review/overall: 8/20,review/taste: 4/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Brunehaut Abbaye de Saint-Martin Triple,beer/style: Abbey Tripel,YES,YES,YES,YES
17811,review/profileName: csaso,review/time: 1318982400,review/overall: 12/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 2/5,beer/name: Liquid Bread American Wheat,beer/style: Wheat Ale,NO,NO,NO,NO
24269,review/profileName: Gusler,review/time: 1038096000,review/overall: 17/20,review/taste: 8/10,review/palate: 4/5,review/appearance: 3/5,beer/name: Chimay Triple / Blanche (White) / Cinq Cents,beer/style: Abbey Tripel,YES,YES,YES,YES
14145,review/profileName: wnoble,review/time: 1310256000,review/overall: 15/20,review/taste: 8/10,review/palate: 3/5,review/appearance: 4/5,beer/name: The Duck-Rabbit Rabid Duck Russian Imperial Stout,beer/style: Imperial Stout,NO,NO,NO,NO
843,review/profileName: frylock,review/time: 1146182400,review/overall: 15/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 2/5,beer/name: Eldridge Pope Thomas Hardys Ale (all vintages to 1999),beer/style: Barley Wine,NO,YES,YES,NO
11724,review/profileName: jonnabrix,review/time: 1157587200,review/overall: 17/20,review/taste: 8/10,review/palate: 5/5,review/appearance: 4/5,beer/name: Chimay Bleue (Blue) / Grande Rserve,beer/style: Belgian Strong Ale,YES,YES,YES,YES
11438,review/profileName: Ungstrup,review/time: 1222128000,review/overall: 15/20,review/taste: 7/10,review/palate: 4/5,review/appearance: 3/5,beer/name: Eldridge Pope Thomas Hardys Ale (all vintages to 1999),beer/style: Barley Wine,NO,YES,NO,YES
28418,review/profileName: Papsoe,review/time: 1232064000,review/overall: 15/20,review/taste: 8/10,review/palate: 3/5,review/appearance: 3/5,beer/name: Eick Bru Gievitzer Doppelbock,beer/style: Doppelbock,YES,YES,NO,YES
10700,review/profileName: unibrouefan,review/time: 1139097600,review/overall: 6/20,review/taste: 3/10,review/palate: 2/5,review/appearance: 1/5,beer/name: Belle Gueule Pilsner,beer/style: Pilsener,NO,NO,NO,NO
21404,review/profileName: Papsoe,review/time: 1287273600,review/overall: 7/20,review/taste: 4/10,review/palate: 2/5,review/appearance: 2/5,beer/name: Thorbru Leichte Weisse,beer/style: Low Alcohol,YES,YES,YES,YES
8965,review/profileName: MartinT,review/time: 1198022400,review/overall: 14/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 3/5,beer/name: City Steam Norwegian Wood,beer/style: Spice/Herb/Vegetable,YES,NO,YES,YES
10061,review/profileName: lucien,review/time: 1180915200,review/overall: 17/20,review/taste: 9/10,review/palate: 5/5,review/appearance: 4/5,beer/name: Chimay Triple / Blanche (White) / Cinq Cents,beer/style: Abbey Tripel,YES,YES,YES,YES
27303,review/profileName: larsga,review/time: 1279584000,review/overall: 12/20,review/taste: 6/10,review/palate: 3/5,review/appearance: 4/5,beer/name: LAlsacienne Sans Culotte Brune,beer/style: Abbey Dubbel,NO,YES,YES,YES
15963,review/profileName: Furseth,review/time: 1178064000,review/overall: 16/20,review/taste: 7/10,review/palate: 3/5,review/appearance: 4/5,beer/name: Eldridge Pope Thomas Hardys Ale (all vintages to 1999),beer/style: Barley Wine,NO,YES,NO,NO
